gwas	eqtl_db	eqtl_origin
T1D_34594039_GCST90018925	Schmiedel_2018	Th1-17_memory
T1D_34594039_GCST90018925	Schmiedel_2018	Th17_memory
T1D_34594039_GCST90018925	Schmiedel_2018	Th1_memory
T1D_34594039_GCST90018925	Schmiedel_2018	Th2_memory
T1D_34594039_GCST90018925	Schmiedel_2018	Treg_memory
T1D_34594039_GCST90018925	Schmiedel_2018	Treg_naive
T1D_34594039_GCST90018925	van_de_Bunt_2015	pancreatic_islet
T1D_34012112_Gaulton	ImmuNexUT	CD16p_Mono
T1D_34012112_Gaulton	ImmuNexUT	CL_Mono
T1D_34012112_Gaulton	ImmuNexUT	CM_CD8
T1D_34012112_Gaulton	ImmuNexUT	DN_B
T1D_34012112_Gaulton	ImmuNexUT	EM_CD8
T1D_34012112_Gaulton	ImmuNexUT	Fr_II_eTreg
T1D_34012112_Gaulton	ImmuNexUT	Fr_III_T
T1D_34012112_Gaulton	ImmuNexUT	Fr_I_nTreg
T1D_34012112_Gaulton	ImmuNexUT	Int_Mono
T1D_34012112_Gaulton	ImmuNexUT	LDG
T1D_34012112_Gaulton	ImmuNexUT	mDC
T1D_34012112_Gaulton	ImmuNexUT	Mem_CD4
T1D_34012112_Gaulton	ImmuNexUT	Mem_CD8
T1D_34012112_Gaulton	ImmuNexUT	Naive_B
T1D_34012112_Gaulton	ImmuNexUT	Naive_CD4
T1D_34012112_Gaulton	ImmuNexUT	Naive_CD8
T1D_34012112_Gaulton	ImmuNexUT	NC_Mono
T1D_34012112_Gaulton	ImmuNexUT	Neu
T1D_34012112_Gaulton	ImmuNexUT	NK
T1D_34012112_Gaulton	ImmuNexUT	pDC
T1D_34012112_Gaulton	ImmuNexUT	Plasmablast
T1D_34012112_Gaulton	ImmuNexUT	SM_B
T1D_34012112_Gaulton	ImmuNexUT	TEMRA_CD8
T1D_34012112_Gaulton	ImmuNexUT	Tfh
T1D_34012112_Gaulton	ImmuNexUT	Th17
T1D_34012112_Gaulton	ImmuNexUT	Th1
T1D_34012112_Gaulton	ImmuNexUT	Th2
T1D_34012112_Gaulton	ImmuNexUT	USM_B
T1D_25751624	ImmuNexUT	CD16p_Mono
T1D_25751624	ImmuNexUT	CL_Mono
T1D_25751624	ImmuNexUT	CM_CD8
T1D_25751624	ImmuNexUT	DN_B
T1D_25751624	ImmuNexUT	EM_CD8
T1D_25751624	ImmuNexUT	Fr_II_eTreg
T1D_25751624	ImmuNexUT	Fr_III_T
T1D_25751624	ImmuNexUT	Fr_I_nTreg
T1D_25751624	ImmuNexUT	Int_Mono
T1D_25751624	ImmuNexUT	LDG
T1D_25751624	ImmuNexUT	mDC
T1D_25751624	ImmuNexUT	Mem_CD4
T1D_25751624	ImmuNexUT	Mem_CD8
T1D_25751624	ImmuNexUT	Naive_B
T1D_25751624	ImmuNexUT	Naive_CD4
T1D_25751624	ImmuNexUT	Naive_CD8
T1D_25751624	ImmuNexUT	NC_Mono
T1D_25751624	ImmuNexUT	Neu
T1D_25751624	ImmuNexUT	NK
T1D_25751624	ImmuNexUT	pDC
T1D_25751624	ImmuNexUT	Plasmablast
T1D_25751624	ImmuNexUT	SM_B
T1D_25751624	ImmuNexUT	TEMRA_CD8
T1D_25751624	ImmuNexUT	Tfh
T1D_25751624	ImmuNexUT	Th17
T1D_25751624	ImmuNexUT	Th1
T1D_25751624	ImmuNexUT	Th2
T1D_25751624	ImmuNexUT	USM_B
T1D_32005708	ImmuNexUT	CD16p_Mono
T1D_32005708	ImmuNexUT	CL_Mono
T1D_32005708	ImmuNexUT	CM_CD8
T1D_32005708	ImmuNexUT	DN_B
T1D_32005708	ImmuNexUT	EM_CD8
T1D_32005708	ImmuNexUT	Fr_II_eTreg
T1D_32005708	ImmuNexUT	Fr_III_T
T1D_32005708	ImmuNexUT	Fr_I_nTreg
T1D_32005708	ImmuNexUT	Int_Mono
T1D_32005708	ImmuNexUT	LDG
T1D_32005708	ImmuNexUT	mDC
T1D_32005708	ImmuNexUT	Mem_CD4
T1D_32005708	ImmuNexUT	Mem_CD8
T1D_32005708	ImmuNexUT	Naive_B
T1D_32005708	ImmuNexUT	Naive_CD4
T1D_32005708	ImmuNexUT	Naive_CD8
T1D_32005708	ImmuNexUT	NC_Mono
T1D_32005708	ImmuNexUT	Neu
T1D_32005708	ImmuNexUT	NK
T1D_32005708	ImmuNexUT	pDC
T1D_32005708	ImmuNexUT	Plasmablast
T1D_32005708	ImmuNexUT	SM_B
T1D_32005708	ImmuNexUT	TEMRA_CD8
T1D_32005708	ImmuNexUT	Tfh
T1D_32005708	ImmuNexUT	Th17
T1D_32005708	ImmuNexUT	Th1
T1D_32005708	ImmuNexUT	Th2
T1D_32005708	ImmuNexUT	USM_B
T1D_34594039_GCST90018925	ImmuNexUT	CD16p_Mono
T1D_34594039_GCST90018925	ImmuNexUT	CL_Mono
T1D_34594039_GCST90018925	ImmuNexUT	CM_CD8
T1D_34594039_GCST90018925	ImmuNexUT	DN_B
T1D_34594039_GCST90018925	ImmuNexUT	EM_CD8
T1D_34594039_GCST90018925	ImmuNexUT	Fr_II_eTreg
