gwas	eqtl_db	eqtl_origin	loop_origin	hichip_map
T1D_25751624	Schmiedel_2018	Tfh_memory	CD4_T-cell_naive	M
T1D_25751624	Schmiedel_2018	Th1-17_memory	CD4_T-cell_naive	M
T1D_25751624	Schmiedel_2018	Th17_memory	CD4_T-cell_naive	M
T1D_25751624	Schmiedel_2018	Th1_memory	CD4_T-cell_naive	M
T1D_25751624	Schmiedel_2018	Th2_memory	CD4_T-cell_naive	M
T1D_25751624	Schmiedel_2018	Treg_memory	CD4_T-cell_naive	M
T1D_25751624	Schmiedel_2018	Treg_naive	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Tfh	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Th1	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Th17	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Th2	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Fr_III_T	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Fr_II_eTreg	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Fr_I_nTreg	CD4_T-cell_naive	M
T1D_25751624	ImmuNexUT	Naive_CD4	CD4_T-cell_naive	Y
T1D_25751624	ImmuNexUT	Mem_CD4	CD4_T-cell_naive	M
T1D_32005708	BLUEPRINT	T-cell	CD4_T-cell_naive	M
T1D_32005708	GENCORD	T-cell	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	CD4_T-cell_naive	CD4_T-cell_naive	Y
T1D_32005708	Schmiedel_2018	Tfh_memory	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	Th1-17_memory	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	Th17_memory	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	Th1_memory	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	Th2_memory	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	Treg_memory	CD4_T-cell_naive	M
T1D_32005708	Schmiedel_2018	Treg_naive	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Tfh	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Th1	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Th17	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Th2	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Fr_III_T	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Fr_II_eTreg	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Fr_I_nTreg	CD4_T-cell_naive	M
T1D_32005708	ImmuNexUT	Naive_CD4	CD4_T-cell_naive	Y
T1D_32005708	ImmuNexUT	Mem_CD4	CD4_T-cell_naive	M
T1D_34012112_Gaulton	BLUEPRINT	T-cell	CD4_T-cell_naive	M
T1D_34012112_Gaulton	GENCORD	T-cell	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	CD4_T-cell_naive	CD4_T-cell_naive	Y
